course,relative_path,extension,size_bytes,status,note,detail
Digital Forensic,01강_Learn the history of digital forensics from judicial pr_2hm1DZr.pdf,.pdf,366551,pdf_imported,Digital Forensic\PDF\01강_Learn the history of digital forensics from judicial pr_2hm1DZr-59cb04613f.md,13/13 pages with text
Digital Forensic,02강_Learn the history of digital forensics from judicial pr_vYTjKdN.pdf,.pdf,396321,pdf_imported,Digital Forensic\PDF\02강_Learn the history of digital forensics from judicial pr_vYTjKdN-fc964744ce.md,17/17 pages with text
Digital Forensic,031025-pPR.pdf,.pdf,18692730,pdf_imported,Digital Forensic\PDF\031025-pPR-ecad40ef52.md,7/7 pages with text
Digital Forensic,03강_Introduction to Digital Forensics_v1.2.pdf,.pdf,597211,pdf_imported,Digital Forensic\PDF\03강_Introduction to Digital Forensics_v1.2-c4a75c1ea6.md,13/13 pages with text
Digital Forensic,04강_Disk_Forensic_(1)_v1.2.pdf,.pdf,1017634,pdf_imported,Digital Forensic\PDF\04강_Disk_Forensic_(1)_v1.2-726fba1aed.md,31/31 pages with text
Digital Forensic,05강_Disk_Forensic_(2)_v1.2 (1).pdf,.pdf,531358,pdf_imported,Digital Forensic\PDF\05강_Disk_Forensic_(2)_v1.2 (1)-92254a3725.md,19/19 pages with text
Digital Forensic,06강_Disk_Forensic_(3)_v1.2 (1).pdf,.pdf,544920,pdf_imported,Digital Forensic\PDF\06강_Disk_Forensic_(3)_v1.2 (1)-5d3059d5f3.md,26/26 pages with text
Digital Forensic,07강_Disk_Forensic_(4)_v1.2 (1).pdf,.pdf,711029,pdf_imported,Digital Forensic\PDF\07강_Disk_Forensic_(4)_v1.2 (1)-9a24cffab7.md,19/19 pages with text
Digital Forensic,08강_Disk_Forensic_(5)_v1.2.pdf,.pdf,535919,pdf_imported,Digital Forensic\PDF\08강_Disk_Forensic_(5)_v1.2-de9691ab68.md,30/30 pages with text
Digital Forensic,09강_Windows_Forensic_생성증거_(1)_registry_v1.2.pdf,.pdf,395983,pdf_imported,Digital Forensic\PDF\09강_Windows_Forensic_생성증거_(1)_registry_v1.2-675232c31b.md,17/17 pages with text
Digital Forensic,10강_Windows_Forensic_Evidence of creation_(2)_v1.2.pdf,.pdf,503557,pdf_imported,Digital Forensic\PDF\10강_Windows_Forensic_Evidence of creation_(2)_v1.2-2869415937.md,18/18 pages with text
Digital Forensic,11강_Windows_Forensic_생성증거_(3)_v1.2.pdf,.pdf,1350631,pdf_imported,Digital Forensic\PDF\11강_Windows_Forensic_생성증거_(3)_v1.2-05bcdbe39a.md,30/30 pages with text
Digital Forensic,12강_Windows_Forensic_생성 증거_(4)_v1.2.pdf,.pdf,878183,pdf_imported,Digital Forensic\PDF\12강_Windows_Forensic_생성 증거_(4)_v1.2-be5fbd692e.md,23/23 pages with text
Digital Forensic,13강_Windows_Forensic_생성증거_(5)_v1.5.pdf,.pdf,921590,pdf_imported,Digital Forensic\PDF\13강_Windows_Forensic_생성증거_(5)_v1.5-8a5c6c7092.md,27/27 pages with text
Digital Forensic,14강_Windows_Forensic_생성 증거_(6)_v1.2.pdf,.pdf,656098,pdf_imported,Digital Forensic\PDF\14강_Windows_Forensic_생성 증거_(6)_v1.2-aa33e6bf86.md,27/27 pages with text
Digital Forensic,15강_Dead_Live_Forensic_(1)_v1.2.pdf,.pdf,583731,pdf_imported,Digital Forensic\PDF\15강_Dead_Live_Forensic_(1)_v1.2-0a5636fb68.md,19/19 pages with text
Digital Forensic,16_Dead_Live_Forensic_(2)_v1.5.pdf,.pdf,837552,pdf_imported,Digital Forensic\PDF\16_Dead_Live_Forensic_(2)_v1.5-b7b2f7469d.md,25/25 pages with text
Digital Forensic,17강_Live_Forensic_분석기법_v1.2.pdf,.pdf,679660,pdf_imported,Digital Forensic\PDF\17강_Live_Forensic_분석기법_v1.2-6df68eab03.md,24/24 pages with text
Digital Forensic,18강_Dead_Forensic_분석기법_v1.2.pdf,.pdf,595365,pdf_imported,Digital Forensic\PDF\18강_Dead_Forensic_분석기법_v1.2-bd7025bdfb.md,26/26 pages with text
Digital Forensic,"19강_PNG, JPEG분석_v1.2.pdf",.pdf,454719,pdf_imported,"Digital Forensic\PDF\19강_PNG, JPEG분석_v1.2-ba8813b02a.md",20/20 pages with text
Digital Forensic,"20강_GIF분석, 깨진 이미지 복호화_v1.2.pdf",.pdf,502034,pdf_imported,"Digital Forensic\PDF\20강_GIF분석, 깨진 이미지 복호화_v1.2-def1f69b59.md",19/19 pages with text
Digital Forensic,21강_이미지 위변조 탐지_v1.2.pdf,.pdf,635917,pdf_imported,Digital Forensic\PDF\21강_이미지 위변조 탐지_v1.2-0b09901c6d.md,17/17 pages with text
Digital Forensic,"22강_Video(MP4,MOV,WMV)_v1.2.pdf",.pdf,706459,pdf_imported,"Digital Forensic\PDF\22강_Video(MP4,MOV,WMV)_v1.2-22aacaa857.md",19/19 pages with text
Digital Forensic,23.mp4,.mp4,74919930,asset_linked,Digital Forensic\Assets\23-6856fd9d36.md,Linked original asset
Digital Forensic,"23강_Audio,Subtitle_v1.2.pdf",.pdf,800604,pdf_imported,"Digital Forensic\PDF\23강_Audio,Subtitle_v1.2-f3390c6a23.md",22/22 pages with text
Digital Forensic,24강_CCTV_v1.2.pdf,.pdf,1015683,pdf_imported,Digital Forensic\PDF\24강_CCTV_v1.2-9589231e26.md,26/26 pages with text
Digital Forensic,25강_영상포렌식_v1.2.pdf,.pdf,935093,pdf_imported,Digital Forensic\PDF\25강_영상포렌식_v1.2-ca993c047e.md,20/20 pages with text
Digital Forensic,26강_Anti-Forensic_(1)_v1.2.pdf,.pdf,757059,pdf_imported,Digital Forensic\PDF\26강_Anti-Forensic_(1)_v1.2-d2d5707834.md,22/22 pages with text
Digital Forensic,27강_Anti-Forensic(2)_v1.2.pdf,.pdf,824374,pdf_imported,Digital Forensic\PDF\27강_Anti-Forensic(2)_v1.2-4561782daf.md,19/19 pages with text
