course,relative_path,extension,size_bytes,status,note,detail
Incident Response,01강_Lesson overview_v1.2.pdf,.pdf,1422716,pdf_imported,Incident Response\PDF\01강_Lesson overview_v1.2-feeddb58a1.md,28/28 pages with text
Incident Response,02강_What is Incident response_v1.2.pdf,.pdf,1002065,pdf_imported,Incident Response\PDF\02강_What is Incident response_v1.2-d4cad13604.md,21/21 pages with text
Incident Response,03강_Cybersecurity Incident Trends and Forecasts_v1.2.pdf,.pdf,1121455,pdf_imported,Incident Response\PDF\03강_Cybersecurity Incident Trends and Forecasts_v1.2-0d8e72b8ed.md,20/20 pages with text
Incident Response,04강_Cybersecurity Incident Guide and Manual_v.1.2.pdf,.pdf,587127,pdf_imported,Incident Response\PDF\04강_Cybersecurity Incident Guide and Manual_v.1.2-08523403b9.md,20/20 pages with text
Incident Response,05강_Cybersecurity Threat Model_v1.2.pdf,.pdf,890406,pdf_imported,Incident Response\PDF\05강_Cybersecurity Threat Model_v1.2-8ef59ee7ce.md,19/19 pages with text
Incident Response,06강_MITRE ATT&CK 시나리오_v1.2.pdf,.pdf,663637,pdf_imported,Incident Response\PDF\06강_MITRE ATT&CK 시나리오_v1.2-bbf6e35467.md,21/21 pages with text
Incident Response,07강_Volatile Non-volatile_v1.2.pdf,.pdf,693110,pdf_imported,Incident Response\PDF\07강_Volatile Non-volatile_v1.2-2380a381fb.md,22/22 pages with text
Incident Response,08강_What is MAC time_v1.2.pdf,.pdf,1633550,pdf_imported,Incident Response\PDF\08강_What is MAC time_v1.2-783f33b1a0.md,22/22 pages with text
Incident Response,09강_File system log_v1.2.pdf,.pdf,2206034,pdf_imported,Incident Response\PDF\09강_File system log_v1.2-e2fe725cc2.md,20/20 pages with text
Incident Response,10강_EventLog_v1.2.pdf,.pdf,1533794,pdf_imported,Incident Response\PDF\10강_EventLog_v1.2-655a502009.md,20/20 pages with text
Incident Response,11강_Executable Files_v1.2.pdf,.pdf,1223399,pdf_imported,Incident Response\PDF\11강_Executable Files_v1.2-24b865b965.md,15/15 pages with text
Incident Response,12강_Document files_v1.2.pdf,.pdf,1575817,pdf_imported,Incident Response\PDF\12강_Document files_v1.2-08a5334e24.md,21/21 pages with text
Incident Response,13강_Web_v1.2.pdf,.pdf,1436888,pdf_imported,Incident Response\PDF\13강_Web_v1.2-b19ce2ea94.md,25/25 pages with text
Incident Response,14강_Process_v1.2.pdf,.pdf,530388,pdf_imported,Incident Response\PDF\14강_Process_v1.2-aa5c8f9a62.md,20/20 pages with text
Incident Response,15강_Other Collections_v1.2.pdf,.pdf,1652160,pdf_imported,Incident Response\PDF\15강_Other Collections_v1.2-8886c488e1.md,22/22 pages with text
